Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.93171E-4,84.004872913,0.664083552,0.027327835,0.761904762,1
4.94087E-4,84.251802402,0.664497593,0.026830965,0.761904762,1
4.9809E-4,84.549624216,0.666293905,0.026234721,0.761904762,1
5.00612E-4,84.799604064,0.667416152,0.025737852,0.761904762,1
5.0242E-4,85.050224393,0.668215576,0.025240982,0.761904762,1
5.03591E-4,85.251542038,0.668731637,0.024843486,0.777777778,1
5.0559E-4,85.503973562,0.669608612,0.024346616,0.777777778,1
5.07939E-4,85.757652948,0.670633359,0.023849747,0.793650794,1
5.11035E-4,86.012582698,0.671974218,0.023352877,0.793650794,1
5.12933E-4,86.268736534,0.672790728,0.022856007,0.793650794,1
5.17122E-4,86.526324476,0.674578775,0.022359137,0.793650794,1
5.18404E-4,86.785322789,0.675122318,0.021862268,0.793650794,1
5.19951E-4,87.04499163,0.675775478,0.021365398,0.793650794,1
5.21464E-4,87.2532301,0.676411686,0.020967902,0.793650794,1
